reaction	linear_coefficient
r_0146	[0.037658252501511044, 0.03332197799710596, 0.037397283433796454]
r_0147	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0148	[0.019860254573854395, 0.011537310365099309, 0.01490480876189056]
r_0149	[0.03620286066098476, 0.019003650973731644, 0.015449162565077869]
r_0150	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0151	[0.019860254573854395, 0.03965370049990464, 0.04066901814779873]
r_0152	[0.00828933394860195, 0.00483734743657872, 0.0050843767596673506]
r_0153	[0.008017142344839396, 0.010231115862773681, 0.011318807934707973]
r_0154	[0.9677147428353527, 1.0, 1.0]
r_0155	[0.46227715437107214, 0.24346985536490617, 0.9436285159482811]
r_0156	[0.2610442352302199, 0.21673714584697107, 0.11513325128690034]
r_0157	[0.2610442352302199, 0.21673714584697107, 0.11513325128690034]
r_0158	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0159	[0.002973265279198888, 0.0032296919414097386, 0.0027943396146917093]
r_0160	[0.0005402056374031283, 0.0005619557120837204, 0.0006449838763334384]
r_0161	[0.001767845319679071, 0.0020009835536288745, 0.0024183426578509664]
r_0162	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0163	[0.001767845319679071, 0.002189164117523241, 0.0024183426578509664]
r_0164	[0.001767845319679071, 0.0020009835536288745, 0.0024183426578509664]
r_0165	[0.0005402056374031283, 0.0005619557120837204, 0.0006449838763334384]
r_0166	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0167	[0.0008901662708121091, 0.0009881293420797841, 0.0010434284126870617]
r_0168	[0.0008901662708121091, 0.0009881293420797841, 0.0010434284126870617]
r_0169	[0.0013678903100688062, 0.0016965738179173994, 0.001907660223932947]
r_0170	[0.0013678903100688062, 0.0016965738179173994, 0.001907660223932947]
r_0171	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0172	[0.015194112795067993, 0.016496421695962618, 0.01490480876189056]
r_0173	[0.019860254573854395, 0.018217720383349324, 0.01736843061342916]
r_0174	[0.2610442352302199, 0.24346985536490617, 0.2702235781413891]
r_0175	[0.003201017437449174, 0.0032905738885520386, 0.0030244273046987308]
r_0176	[0.003989817595291635, 0.0039768794745197265, 0.004404953444740858]
r_0177	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0178	[0.018799262812249376, 0.017398581458162053, 0.018586211802002914]
r_0179	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0180	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0181	[0.0020567017155087046, 0.002189164117523241, 0.0024183426578509664]
r_0182	[0.018799262812249376, 0.010231115862773681, 0.010179593274429292]
r_0183	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0184	[0.024487511837817513, 0.01905346347593896, 0.01960757666983891]
r_0185	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0186	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0187	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0188	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0189	[0.053467585242494446, 0.03965370049990464, 0.05259429476401626]
r_0190	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0191	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0192	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0193	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0194	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0195	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0196	[0.0049494432439269875, 0.00483734743657872, 0.0050843767596673506]
r_0197	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0198	[0.014338653468957165, 0.009345560267976671, 0.011318807934707973]
r_0199	[0.014338653468957165, 0.009345560267976671, 0.011318807934707973]
r_0200	[0.0016011973990081262, 0.001984379386226431, 0.002289269075651906]
r_0201	[0.0016011973990081262, 0.001984379386226431, 0.002289269075651906]
r_0202	[0.0016011973990081262, 0.001984379386226431, 0.002289269075651906]
r_0203	[0.0016011973990081262, 0.001984379386226431, 0.002289269075651906]
r_0204	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0205	[0.0030399244474672636, 0.0030968586021901867, 0.0031254414125066916]
r_0206	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0207	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0208	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0209	[0.001767845319679071, 0.002045261333368725, 0.002317328550043006]
r_0210	[0.0022122397748015805, 0.002609803025051831, 0.0038269282722842002]
r_0211	[0.0022122397748015805, 0.002609803025051831, 0.0038269282722842002]
r_0212	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0213	[0.0022122397748015805, 0.002609803025051831, 0.0038269282722842002]
r_0214	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0215	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0216	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0217	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0218	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0219	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0220	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0221	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0222	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0223	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
r_0224	[0.0022122397748015805, 0.002609803025051831, 0.0031254414125066916]
