regulator;gene_name;direction;evidence;regulator_gene
Yap1p;PRP22;+;Doc;YAP1
Met28p;PRP22;+;Doc;MET28
Met32p;PRP22;+;Doc;MET32
Met31p;PRP22;+;Doc;MET31
Tec1p;PRP22;+;Doc;TEC1
Ste12p;PRP22;+;Doc;STE12
Cin5p;PRP22;+;Doc;CIN5
Pdr3p;PRE1;+;Doc;PDR3
Rpn4p;PRE1;+;Doc;RPN4
Pdr1p;PRE1;+;Doc;PDR1
Yap1p;PRE1;+;Doc;YAP1
Met28p;PRE1;+;Doc;MET28
Met32p;PRE1;+;Doc;MET32
Cbf1p;PRE1;+;Doc;CBF1
Tup1p;PRE1;+;Doc;TUP1
Gcn4p;PRE1;+;Doc;GCN4
Rox1p;PRE1;+;Doc;ROX1
Urc2p;PRE1;+;Doc;URC2
Pdr3p;NTF2;+;Doc;PDR3
Pdr1p;NTF2;+;Doc;PDR1
Yap1p;NTF2;+;Doc;YAP1
Met32p;NTF2;+;Doc;MET32
Rim101p;NTF2;+;Doc;RIM101
Cbf1p;NTF2;+;Doc;CBF1
Cst6p;NTF2;+;Doc;CST6
Tup1p;NTF2;+;Doc;TUP1
Gcr1p;NTF2;+;Doc;GCR1
Rtg3p;NTF2;+;Doc;RTG3
Spt10p;NTF2;+;Doc;SPT10
Sfp1p;NTF2;+;Doc;SFP1
Mga2p;NTF2;+;Doc;MGA2
Rap1p;NTF2;+;Doc;RAP1
Gat1p;NTF2;+;Doc;GAT1
Snf2p;NTF2;+;Doc;SNF2
Pdr3p;SEC3;+;Doc;PDR3
Rpn4p;SEC3;+;Doc;RPN4
Pdr1p;SEC3;+;Doc;PDR1
Yap1p;SEC3;+;Doc;YAP1
Met32p;SEC3;+;Doc;MET32
Cbf1p;SEC3;+;Doc;CBF1
Tec1p;SEC3;+;Doc;TEC1
Gcn4p;SEC3;+;Doc;GCN4
Hsf1p;SEC3;+;Doc;HSF1
Rgm1p;SEC3;+;Doc;RGM1
Pdr3p;PAC2;+;Doc;PDR3
Pdr1p;PAC2;+;Doc;PDR1
Yap1p;PAC2;+;Doc;YAP1
Met32p;PAC2;+;Doc;MET32
Tup1p;PAC2;+;Doc;TUP1
Spt3p;PAC2;+;Doc;SPT3
Tye7p;PAC2;+;Doc;TYE7
Hfi1p;PAC2;+;Doc;HFI1
Ste12p;PAC2;+;Doc;STE12
Pdr3p;NUG1;+;Doc;PDR3
Pdr1p;NUG1;+;Doc;PDR1
Yap1p;NUG1;+;Doc;YAP1
Met28p;NUG1;+;Doc;MET28
Met32p;NUG1;+;Doc;MET32
Cbf1p;NUG1;+;Doc;CBF1
Cst6p;NUG1;+;Doc;CST6
Tup1p;NUG1;+;Doc;TUP1
Aft1p;NUG1;+;Doc;AFT1
Tec1p;NUG1;+;Doc;TEC1
Hfi1p;NUG1;+;Doc;HFI1
Gcn4p;NUG1;+;Doc;GCN4
Sfp1p;NUG1;+;Doc;SFP1
Arr1p;NUG1;+;Doc;ARR1
Abf1p;NUG1;+;Doc;ABF1
Gat1p;NUG1;+;Doc;GAT1
Snf2p;NUG1;+;Doc;SNF2
Ume6p;NUG1;+;Doc;UME6
Hap1p;NUG1;+;Doc;HAP1
Rpn4p;YND1;+;Doc;RPN4
Pdr1p;YND1;+;Doc;PDR1
Yap1p;YND1;+;Doc;YAP1
Met32p;YND1;+;Doc;MET32
Cbf1p;YND1;+;Doc;CBF1
Ace2p;YND1;+;Doc;ACE2
Cup9p;YND1;+;Doc;CUP9
Gal4p;YND1;+;Doc;GAL4
Pip2p;YND1;+;Doc;PIP2
Put3p;YND1;+;Doc;PUT3
Spt3p;YND1;+;Doc;SPT3
Tye7p;YND1;+;Doc;TYE7
Skn7p;YND1;+;Doc;SKN7
Abf1p;YND1;+;Doc;ABF1
Gln3p;YND1;+;Doc;GLN3
Hap4p;FMP52;+;Doc;HAP4
Pdr3p;FMP52;+;Doc;PDR3
Rpn4p;FMP52;+;Doc;RPN4
Pdr1p;FMP52;+;Doc;PDR1
Met32p;FMP52;+;Doc;MET32
Msn2p;FMP52;+;Doc;MSN2
Met31p;FMP52;+;Doc;MET31
Tye7p;FMP52;+;Doc;TYE7
Leu3p;FMP52;+;Doc;LEU3
Gcn4p;FMP52;+;Doc;GCN4
Msn4p;FMP52;+;Doc;MSN4
Yhp1p;FMP52;+;Doc;YHP1
Rox1p;FMP52;+;Doc;ROX1
Bas1p;PMI40;+;Doc;BAS1
Pdr3p;PMI40;+;Doc;PDR3
Rpn4p;PMI40;+;Doc;RPN4
Pdr1p;PMI40;+;Doc;PDR1
Yap1p;PMI40;+;Doc;YAP1
Met28p;PMI40;+;Doc;MET28
Met32p;PMI40;+;Doc;MET32
Cbf1p;PMI40;+;Doc;CBF1
Cst6p;PMI40;+;Doc;CST6
Tup1p;PMI40;+;Doc;TUP1
Ace2p;PMI40;+;Doc;ACE2
Put3p;PMI40;+;Doc;PUT3
Rds2p;PMI40;+;Doc;RDS2
Rgt1p;PMI40;+;Doc;RGT1
Spt3p;PMI40;+;Doc;SPT3
Tye7p;PMI40;+;Doc;TYE7
Aft1p;PMI40;+;Doc;AFT1
Tec1p;PMI40;+;Doc;TEC1
Gcr1p;PMI40;+;Doc;GCR1
Gcn4p;PMI40;+;Doc;GCN4
Spt10p;PMI40;+;Doc;SPT10
Aca1p;PMI40;+;Doc;ACA1
Mcm1p;PMI40;+;Doc;MCM1
Rap1p;PMI40;+;Doc;RAP1
Abf1p;PMI40;+;Doc;ABF1
Pho4p;PMI40;+;Doc;PHO4
Snf2p;PMI40;+;Doc;SNF2
Hac1p;PMI40;+;Doc;HAC1
Yap3p;PMI40;+;Doc;YAP3
Aro80p;PMI40;+;Doc;ARO80
Pdr3p;NOP16;+;Doc;PDR3
Yap1p;NOP16;+;Doc;YAP1
Met28p;NOP16;+;Doc;MET28
Met32p;NOP16;+;Doc;MET32
Cbf1p;NOP16;+;Doc;CBF1
Stb5p;NOP16;+;Doc;STB5
Gcn4p;NOP16;+;Doc;GCN4
Yrr1p;NOP16;+;Doc;YRR1
Sfp1p;NOP16;+;Doc;SFP1
Pho4p;NOP16;+;Doc;PHO4
Hap1p;NOP16;+;Doc;HAP1
Bas1p;MNN1;+;Doc;BAS1
Pdr3p;MNN1;+;Doc;PDR3
Rpn4p;MNN1;+;Doc;RPN4
Pdr1p;MNN1;+;Doc;PDR1
Yap1p;MNN1;+;Doc;YAP1
Met32p;MNN1;+;Doc;MET32
Msn2p;MNN1;+;Doc;MSN2
Rim101p;MNN1;+;Doc;RIM101
Rph1p;MNN1;+;Doc;RPH1
Met31p;MNN1;+;Doc;MET31
Cst6p;MNN1;+;Doc;CST6
Spt3p;MNN1;+;Doc;SPT3
Rfx1p;MNN1;+;Doc;RFX1
Hfi1p;MNN1;+;Doc;HFI1
Gcn4p;MNN1;+;Doc;GCN4
Swi4p;MNN1;+;Doc;SWI4
Msn4p;MNN1;+;Doc;MSN4
Sfp1p;MNN1;+;Doc;SFP1
Arr1p;MNN1;+;Doc;ARR1
Snf2p;MNN1;+;Doc;SNF2
Ume6p;MNN1;+;Doc;UME6
Pdr3p;TMA108;+;Doc;PDR3
Rpn4p;TMA108;+;Doc;RPN4
Pdr1p;TMA108;+;Doc;PDR1
Yap1p;TMA108;+;Doc;YAP1
Met32p;TMA108;+;Doc;MET32
Msn2p;TMA108;+;Doc;MSN2
Met31p;TMA108;+;Doc;MET31
Spt3p;TMA108;+;Doc;SPT3
Tec1p;TMA108;+;Doc;TEC1
Gcn4p;TMA108;+;Doc;GCN4
Msn4p;TMA108;+;Doc;MSN4
Sfp1p;TMA108;+;Doc;SFP1
Ste12p;TMA108;+;Doc;STE12
Ino4p;TMA108;+;Doc;INO4
Ndt80p;TMA108;+;Doc;NDT80
Bas1p;OM45;+;Doc;BAS1
Hap4p;OM45;+;Doc;HAP4
Pdr3p;OM45;+;Doc;PDR3
Rpn4p;OM45;+;Doc;RPN4
Pdr1p;OM45;+;Doc;PDR1
Yap1p;OM45;+;Doc;YAP1
Met32p;OM45;+;Doc;MET32
Msn2p;OM45;+;Doc;MSN2
Met31p;OM45;+;Doc;MET31
Cst6p;OM45;+;Doc;CST6
Put3p;OM45;+;Doc;PUT3
Fkh1p;OM45;+;Doc;FKH1
Mbp1p;OM45;+;Doc;MBP1
Tec1p;OM45;+;Doc;TEC1
Adr1p;OM45;+;Doc;ADR1
Haa1p;OM45;+;Doc;HAA1
Gcn4p;OM45;+;Doc;GCN4
Rlm1p;OM45;+;Doc;RLM1
Swi4p;OM45;+;Doc;SWI4
Msn4p;OM45;+;Doc;MSN4
Yrr1p;OM45;+;Doc;YRR1
Xbp1p;OM45;+;Doc;XBP1
Ste12p;OM45;+;Doc;STE12
Mig1p;OM45;+;Doc;MIG1
Rap1p;OM45;+;Doc;RAP1
Abf1p;OM45;+;Doc;ABF1
Gat4p;OM45;+;Doc;GAT4
Gat1p;OM45;+;Doc;GAT1
Cin5p;OM45;+;Doc;CIN5
Fhl1p;OM45;+;Doc;FHL1
Yox1p;OM45;+;Doc;YOX1
Gis1p;OM45;+;Doc;GIS1
Pdr3p;FLX1;+;Doc;PDR3
Rpn4p;FLX1;+;Doc;RPN4
Pdr1p;FLX1;+;Doc;PDR1
Yap1p;FLX1;+;Doc;YAP1
Met32p;FLX1;+;Doc;MET32
Cst6p;FLX1;+;Doc;CST6
Tup1p;FLX1;+;Doc;TUP1
Spt3p;FLX1;+;Doc;SPT3
Ino2p;FLX1;+;Doc;INO2
Ixr1p;FLX1;+;Doc;IXR1
Mbp1p;FLX1;+;Doc;MBP1
Gcr1p;FLX1;+;Doc;GCR1
Gcn4p;FLX1;+;Doc;GCN4
Sfp1p;FLX1;+;Doc;SFP1
Mcm1p;FLX1;+;Doc;MCM1
Rap1p;FLX1;+;Doc;RAP1
Cin5p;FLX1;+;Doc;CIN5
Bas1p;RPL16A;+;Doc;BAS1
Pdr3p;RPL16A;+;Doc;PDR3
Yap1p;RPL16A;+;Doc;YAP1
Met28p;RPL16A;+;Doc;MET28
Cbf1p;RPL16A;+;Doc;CBF1
Met31p;RPL16A;+;Doc;MET31
Cst6p;RPL16A;+;Doc;CST6
Tup1p;RPL16A;+;Doc;TUP1
Ixr1p;RPL16A;+;Doc;IXR1
Gcr1p;RPL16A;+;Doc;GCR1
Hfi1p;RPL16A;+;Doc;HFI1
Rlm1p;RPL16A;+;Doc;RLM1
Yrr1p;RPL16A;+;Doc;YRR1
Spt10p;RPL16A;+;Doc;SPT10
Stp1p;RPL16A;+;Doc;STP1
Stp2p;RPL16A;+;Doc;STP2
Sfp1p;RPL16A;+;Doc;SFP1
Mga2p;RPL16A;+;Doc;MGA2
Hsf1p;RPL16A;+;Doc;HSF1
Rap1p;RPL16A;+;Doc;RAP1
Gat1p;RPL16A;+;Doc;GAT1
Snf2p;RPL16A;+;Doc;SNF2
Ifh1p;RPL16A;+;Doc;IFH1
Pdr3p;CSM2;+;Doc;PDR3
Rpn4p;CSM2;+;Doc;RPN4
Pdr1p;CSM2;+;Doc;PDR1
Yap1p;CSM2;+;Doc;YAP1
Met32p;CSM2;+;Doc;MET32
Flo8p;CSM2;+;Doc;FLO8
Cbf1p;CSM2;+;Doc;CBF1
Ixr1p;CSM2;+;Doc;IXR1
Tec1p;CSM2;+;Doc;TEC1
Mcm1p;CSM2;+;Doc;MCM1
Rap1p;CSM2;+;Doc;RAP1
Rsf2p;CSM2;+;Doc;RSF2
Reb1p;CSM2;+;Doc;REB1
Pdr3p;ASG1;+;Doc;PDR3
Rpn4p;ASG1;+;Doc;RPN4
Pdr1p;ASG1;+;Doc;PDR1
Yap1p;ASG1;+;Doc;YAP1
Met32p;ASG1;+;Doc;MET32
Swi6p;ASG1;+;Doc;SWI6
Cbf1p;ASG1;+;Doc;CBF1
Cst6p;ASG1;+;Doc;CST6
Tup1p;ASG1;+;Doc;TUP1
Tec1p;ASG1;+;Doc;TEC1
Haa1p;ASG1;+;Doc;HAA1
Hap2p;ASG1;+;Doc;HAP2
Asg1p;ASG1;+;Doc;ASG1
Gcn4p;ASG1;+;Doc;GCN4
Ste12p;ASG1;+;Doc;STE12
Hsf1p;ASG1;+;Doc;HSF1
Gat1p;ASG1;+;Doc;GAT1
Snf2p;ASG1;+;Doc;SNF2
Pdr3p;TAO3;+;Doc;PDR3
Rpn4p;TAO3;+;Doc;RPN4
Pdr1p;TAO3;+;Doc;PDR1
Yap1p;TAO3;+;Doc;YAP1
Met32p;TAO3;+;Doc;MET32
Met31p;TAO3;+;Doc;MET31
Cup9p;TAO3;+;Doc;CUP9
Pip2p;TAO3;+;Doc;PIP2
Rgt1p;TAO3;+;Doc;RGT1
Thi2p;TAO3;+;Doc;THI2
Fkh1p;TAO3;+;Doc;FKH1
Ixr1p;TAO3;+;Doc;IXR1
Rfx1p;TAO3;+;Doc;RFX1
Fkh2p;TAO3;+;Doc;FKH2
Cin5p;TAO3;+;Doc;CIN5
Rgm1p;TAO3;+;Doc;RGM1
Pdr3p;MET18;+;Doc;PDR3
Rpn4p;MET18;+;Doc;RPN4
Pdr1p;MET18;+;Doc;PDR1
Yap1p;MET18;+;Doc;YAP1
Met28p;MET18;+;Doc;MET28
Msn2p;MET18;+;Doc;MSN2
Mss11p;MET18;+;Doc;MSS11
Cbf1p;MET18;+;Doc;CBF1
Met31p;MET18;+;Doc;MET31
Cst6p;MET18;+;Doc;CST6
Tup1p;MET18;+;Doc;TUP1
Tec1p;MET18;+;Doc;TEC1
Msn4p;MET18;+;Doc;MSN4
Arr1p;MET18;+;Doc;ARR1
Ste12p;MET18;+;Doc;STE12
Gat1p;MET18;+;Doc;GAT1
Snf2p;MET18;+;Doc;SNF2
Sdd4p;MET18;+;Doc;SDD4
Pdr3p;RRT14;+;Doc;PDR3
Pdr1p;RRT14;+;Doc;PDR1
Yap1p;RRT14;+;Doc;YAP1
Met28p;RRT14;+;Doc;MET28
Met32p;RRT14;+;Doc;MET32
Cbf1p;RRT14;+;Doc;CBF1
Cst6p;RRT14;+;Doc;CST6
Tup1p;RRT14;+;Doc;TUP1
Stb5p;RRT14;+;Doc;STB5
Tec1p;RRT14;+;Doc;TEC1
Gcn4p;RRT14;+;Doc;GCN4
Gat1p;RRT14;+;Doc;GAT1
Snf2p;RRT14;+;Doc;SNF2
YLR278C;RRT14;+;Doc;YLR278
Pdr3p;STH1;+;Doc;PDR3
Yap1p;STH1;+;Doc;YAP1
Met28p;STH1;+;Doc;MET28
Met32p;STH1;+;Doc;MET32
Cbf1p;STH1;+;Doc;CBF1
Tec1p;STH1;+;Doc;TEC1
Ste12p;STH1;+;Doc;STE12
Rap1p;STH1;+;Doc;RAP1
Dal82p;STH1;+;Doc;DAL82
Ndt80p;STH1;+;Doc;NDT80
Arg81p;STH1;+;Doc;ARG81
Hap4p;KGD1;+;Doc;HAP4
Pdr3p;KGD1;+;Doc;PDR3
Rpn4p;KGD1;+;Doc;RPN4
Pdr1p;KGD1;+;Doc;PDR1
Yap1p;KGD1;+;Doc;YAP1
Met28p;KGD1;+;Doc;MET28
Tup1p;KGD1;+;Doc;TUP1
Cup9p;KGD1;+;Doc;CUP9
Gal4p;KGD1;+;Doc;GAL4
Tye7p;KGD1;+;Doc;TYE7
Aft1p;KGD1;+;Doc;AFT1
Hap2p;KGD1;+;Doc;HAP2
Hap3p;KGD1;+;Doc;HAP3
Hap5p;KGD1;+;Doc;HAP5
Snf2p;KGD1;+;Doc;SNF2
Rox1p;KGD1;+;Doc;ROX1
Rds1p;KGD1;+;Doc;RDS1
Bas1p;AYR1;+;Doc;BAS1
Hap4p;AYR1;+;Doc;HAP4
Pdr3p;AYR1;+;Doc;PDR3
Rpn4p;AYR1;+;Doc;RPN4
Pdr1p;AYR1;+;Doc;PDR1
Yap1p;AYR1;+;Doc;YAP1
Met28p;AYR1;+;Doc;MET28
Met32p;AYR1;+;Doc;MET32
Aft2p;AYR1;+;Doc;AFT2
Ash1p;AYR1;+;Doc;ASH1
Sut2p;AYR1;+;Doc;SUT2
Ert1p;AYR1;+;Doc;ERT1
Rph1p;AYR1;+;Doc;RPH1
Met31p;AYR1;+;Doc;MET31
Cst6p;AYR1;+;Doc;CST6
Put3p;AYR1;+;Doc;PUT3
Aft1p;AYR1;+;Doc;AFT1
Ino2p;AYR1;+;Doc;INO2
Tec1p;AYR1;+;Doc;TEC1
Gcn4p;AYR1;+;Doc;GCN4
Rme1p;AYR1;+;Doc;RME1
Stp1p;AYR1;+;Doc;STP1
Stp2p;AYR1;+;Doc;STP2
Sfp1p;AYR1;+;Doc;SFP1
Oaf1p;AYR1;+;Doc;OAF1
Snf1p;AYR1;+;Doc;SNF1
Phd1p;AYR1;+;Doc;PHD1
Mig1p;AYR1;+;Doc;MIG1
Opi1p;AYR1;+;Doc;OPI1
Rap1p;AYR1;+;Doc;RAP1
Spt23p;AYR1;+;Doc;SPT23
Pho4p;AYR1;+;Doc;PHO4
Gat1p;AYR1;+;Doc;GAT1
Sum1p;AYR1;+;Doc;SUM1
Sut1p;AYR1;+;Doc;SUT1
YGR067C;AYR1;+;Doc;YGR067
Oaf3p;AYR1;+;Doc;OAF3
Bas1p;SIM1;+;Doc;BAS1
Pdr3p;SIM1;+;Doc;PDR3
Rpn4p;SIM1;+;Doc;RPN4
Yap1p;SIM1;+;Doc;YAP1
Rph1p;SIM1;+;Doc;RPH1
Cst6p;SIM1;+;Doc;CST6
Tup1p;SIM1;+;Doc;TUP1
Cup9p;SIM1;+;Doc;CUP9
Gal4p;SIM1;+;Doc;GAL4
Hms1p;SIM1;+;Doc;HMS1
Pip2p;SIM1;+;Doc;PIP2
Put3p;SIM1;+;Doc;PUT3
Spt3p;SIM1;+;Doc;SPT3
Thi2p;SIM1;+;Doc;THI2
Tye7p;SIM1;+;Doc;TYE7
Aft1p;SIM1;+;Doc;AFT1
Mbp1p;SIM1;+;Doc;MBP1
Tec1p;SIM1;+;Doc;TEC1
Gcr1p;SIM1;+;Doc;GCR1
Leu3p;SIM1;+;Doc;LEU3
Mal33p;SIM1;+;Doc;MAL33
Mot3p;SIM1;+;Doc;MOT3
Hfi1p;SIM1;+;Doc;HFI1
Gcn4p;SIM1;+;Doc;GCN4
Rlm1p;SIM1;+;Doc;RLM1
Swi4p;SIM1;+;Doc;SWI4
Stp1p;SIM1;+;Doc;STP1
Ste12p;SIM1;+;Doc;STE12
Hsf1p;SIM1;+;Doc;HSF1
Mcm1p;SIM1;+;Doc;MCM1
Rap1p;SIM1;+;Doc;RAP1
Snf2p;SIM1;+;Doc;SNF2
Cin5p;SIM1;+;Doc;CIN5
Azf1p;SIM1;+;Doc;AZF1
Pdr3p;QDR2;+;Doc;PDR3
Gcr2p;QDR2;+;Doc;GCR2
Rpn4p;QDR2;+;Doc;RPN4
Pdr1p;QDR2;+;Doc;PDR1
Yap1p;QDR2;+;Doc;YAP1
Met32p;QDR2;+;Doc;MET32
Flo8p;QDR2;+;Doc;FLO8
Cst6p;QDR2;+;Doc;CST6
Tup1p;QDR2;+;Doc;TUP1
Spt3p;QDR2;+;Doc;SPT3
Fkh1p;QDR2;+;Doc;FKH1
Ixr1p;QDR2;+;Doc;IXR1
Gcr1p;QDR2;+;Doc;GCR1
Hfi1p;QDR2;+;Doc;HFI1
Gcn4p;QDR2;+;Doc;GCN4
Spt10p;QDR2;+;Doc;SPT10
Stp1p;QDR2;+;Doc;STP1
Sfp1p;QDR2;+;Doc;SFP1
Mga2p;QDR2;+;Doc;MGA2
Ste12p;QDR2;+;Doc;STE12
Hsf1p;QDR2;+;Doc;HSF1
Rap1p;QDR2;+;Doc;RAP1
Snf2p;QDR2;+;Doc;SNF2
Hac1p;QDR2;+;Doc;HAC1
Hal9p;QDR2;+;Doc;HAL9
Gln3p;QDR2;+;Doc;GLN3
Kar4p;QDR2;+;Doc;KAR4
Reb1p;QDR2;+;Doc;REB1
Pdr8p;QDR2;+;Doc;PDR8
Gcr2p;RHO3;+;Doc;GCR2
Met32p;RHO3;+;Doc;MET32
Cbf1p;RHO3;+;Doc;CBF1
Met31p;RHO3;+;Doc;MET31
Cst6p;RHO3;+;Doc;CST6
Gcr1p;RHO3;+;Doc;GCR1
Gcn4p;RHO3;+;Doc;GCN4
Mth1p;RHO3;+;Doc;MTH1
Rdr1p;RHO3;+;Doc;RDR1
Stp1p;RHO3;+;Doc;STP1
Mga2p;RHO3;+;Doc;MGA2
Oaf1p;RHO3;+;Doc;OAF1
Spt2p;RHO3;+;Doc;SPT2
Hsf1p;RHO3;+;Doc;HSF1
YLR278C;RHO3;+;Doc;YLR278
Sko1p;RHO3;+;Doc;SKO1
Tod6p;RHO3;+;Doc;TOD6
Urc2p;RHO3;+;Doc;URC2
Yox1p;RHO3;+;Doc;YOX1
Bas1p;HIS5;+;Doc;BAS1
Rpn4p;HIS5;+;Doc;RPN4
Pdr1p;HIS5;+;Doc;PDR1
Yap1p;HIS5;+;Doc;YAP1
Met32p;HIS5;+;Doc;MET32
Rph1p;HIS5;+;Doc;RPH1
Cbf1p;HIS5;+;Doc;CBF1
Cst6p;HIS5;+;Doc;CST6
Stb5p;HIS5;+;Doc;STB5
Fkh1p;HIS5;+;Doc;FKH1
Rtg3p;HIS5;+;Doc;RTG3
Gcn4p;HIS5;+;Doc;GCN4
Spt10p;HIS5;+;Doc;SPT10
Sfp1p;HIS5;+;Doc;SFP1
Arr1p;HIS5;+;Doc;ARR1
Pho2p;HIS5;+;Doc;PHO2
Snf1p;HIS5;+;Doc;SNF1
Sok2p;HIS5;+;Doc;SOK2
Hsf1p;HIS5;+;Doc;HSF1
Rap1p;HIS5;+;Doc;RAP1
Abf1p;HIS5;+;Doc;ABF1
Gzf3p;HIS5;+;Doc;GZF3
Hac1p;HIS5;+;Doc;HAC1
Gln3p;HIS5;+;Doc;GLN3
Kar4p;HIS5;+;Doc;KAR4
Reb1p;HIS5;+;Doc;REB1
Pdr3p;NUP159;+;Doc;PDR3
Rpn4p;NUP159;+;Doc;RPN4
Pdr1p;NUP159;+;Doc;PDR1
Yap1p;NUP159;+;Doc;YAP1
Met32p;NUP159;+;Doc;MET32
Cbf1p;NUP159;+;Doc;CBF1
Tec1p;NUP159;+;Doc;TEC1
Gcn4p;NUP159;+;Doc;GCN4
Snf1p;NUP159;+;Doc;SNF1
Pdr3p;HOS4;+;Doc;PDR3
Rpn4p;HOS4;+;Doc;RPN4
Pdr1p;HOS4;+;Doc;PDR1
Yap1p;HOS4;+;Doc;YAP1
Met32p;HOS4;+;Doc;MET32
Gcn4p;HOS4;+;Doc;GCN4
Mig3p;HOS4;+;Doc;MIG3
Hsf1p;HOS4;+;Doc;HSF1
Ume6p;HOS4;+;Doc;UME6
Pdr3p;COX5B;+;Doc;PDR3
Rpn4p;COX5B;+;Doc;RPN4
Yap1p;COX5B;+;Doc;YAP1
Met32p;COX5B;+;Doc;MET32
Ecm22p;COX5B;+;Doc;ECM22
Msn2p;COX5B;+;Doc;MSN2
Cbf1p;COX5B;+;Doc;CBF1
Met31p;COX5B;+;Doc;MET31
Gcn4p;COX5B;+;Doc;GCN4
Rlm1p;COX5B;+;Doc;RLM1
Msn4p;COX5B;+;Doc;MSN4
Yrr1p;COX5B;+;Doc;YRR1
Sfp1p;COX5B;+;Doc;SFP1
Sok2p;COX5B;+;Doc;SOK2
Yhp1p;COX5B;+;Doc;YHP1
Hac1p;COX5B;+;Doc;HAC1
Sut1p;COX5B;+;Doc;SUT1
Fhl1p;COX5B;+;Doc;FHL1
Upc2p;COX5B;+;Doc;UPC2
Gis1p;COX5B;+;Doc;GIS1
Pdr3p;HPM1;+;Doc;PDR3
Pdr1p;HPM1;+;Doc;PDR1
Yap1p;HPM1;+;Doc;YAP1
Met32p;HPM1;+;Doc;MET32
Cst6p;HPM1;+;Doc;CST6
Tup1p;HPM1;+;Doc;TUP1
Gcn4p;HPM1;+;Doc;GCN4
Spt10p;HPM1;+;Doc;SPT10
Ste12p;HPM1;+;Doc;STE12
Mcm1p;HPM1;+;Doc;MCM1
Snf2p;HPM1;+;Doc;SNF2
Pdr3p;SEC24;+;Doc;PDR3
Rpn4p;SEC24;+;Doc;RPN4
Pdr1p;SEC24;+;Doc;PDR1
Yap1p;SEC24;+;Doc;YAP1
Cst6p;SEC24;+;Doc;CST6
Tup1p;SEC24;+;Doc;TUP1
Tec1p;SEC24;+;Doc;TEC1
Sfp1p;SEC24;+;Doc;SFP1
Mcm1p;SEC24;+;Doc;MCM1
Snf2p;SEC24;+;Doc;SNF2
Ino4p;SEC24;+;Doc;INO4
Pdr3p;PFK26;+;Doc;PDR3
Rpn4p;PFK26;+;Doc;RPN4
Pdr1p;PFK26;+;Doc;PDR1
Yap1p;PFK26;+;Doc;YAP1
Met28p;PFK26;+;Doc;MET28
Msn2p;PFK26;+;Doc;MSN2
Met31p;PFK26;+;Doc;MET31
Hms1p;PFK26;+;Doc;HMS1
Put3p;PFK26;+;Doc;PUT3
Rlm1p;PFK26;+;Doc;RLM1
Msn4p;PFK26;+;Doc;MSN4
Hsf1p;PFK26;+;Doc;HSF1
Rap1p;PFK26;+;Doc;RAP1
Gat1p;PFK26;+;Doc;GAT1
Sut1p;PFK26;+;Doc;SUT1
Bas1p;MOB1;+;Doc;BAS1
Met32p;MOB1;+;Doc;MET32
Met31p;MOB1;+;Doc;MET31
Cst6p;MOB1;+;Doc;CST6
Tup1p;MOB1;+;Doc;TUP1
Spt3p;MOB1;+;Doc;SPT3
Fkh1p;MOB1;+;Doc;FKH1
Gcn4p;MOB1;+;Doc;GCN4
Fkh2p;MOB1;+;Doc;FKH2
Mth1p;MOB1;+;Doc;MTH1
Sfp1p;MOB1;+;Doc;SFP1
Spt2p;MOB1;+;Doc;SPT2
Snf2p;MOB1;+;Doc;SNF2
Bas1p;SLM1;+;Doc;BAS1
Pdr3p;SLM1;+;Doc;PDR3
Rpn4p;SLM1;+;Doc;RPN4
Pdr1p;SLM1;+;Doc;PDR1
Yap1p;SLM1;+;Doc;YAP1
Met28p;SLM1;+;Doc;MET28
Met32p;SLM1;+;Doc;MET32
Cbf1p;SLM1;+;Doc;CBF1
Met31p;SLM1;+;Doc;MET31
Ace2p;SLM1;+;Doc;ACE2
Put3p;SLM1;+;Doc;PUT3
Spt3p;SLM1;+;Doc;SPT3
Thi2p;SLM1;+;Doc;THI2
Ixr1p;SLM1;+;Doc;IXR1
Gcn4p;SLM1;+;Doc;GCN4
Swi4p;SLM1;+;Doc;SWI4
Hap5p;SLM1;+;Doc;HAP5
Mig3p;SLM1;+;Doc;MIG3
Pdr3p;SHQ1;+;Doc;PDR3
Pdr1p;SHQ1;+;Doc;PDR1
Yap1p;SHQ1;+;Doc;YAP1
Met28p;SHQ1;+;Doc;MET28
Met32p;SHQ1;+;Doc;MET32
Cbf1p;SHQ1;+;Doc;CBF1
Gcn4p;SHQ1;+;Doc;GCN4
Skn7p;SHQ1;+;Doc;SKN7
Pdr3p;DPH1;+;Doc;PDR3
Yap1p;DPH1;+;Doc;YAP1
Met28p;DPH1;+;Doc;MET28
Cbf1p;DPH1;+;Doc;CBF1
Cst6p;DPH1;+;Doc;CST6
Tup1p;DPH1;+;Doc;TUP1
Tec1p;DPH1;+;Doc;TEC1
Spt10p;DPH1;+;Doc;SPT10
Gat1p;DPH1;+;Doc;GAT1
Snf2p;DPH1;+;Doc;SNF2
Ume6p;DPH1;+;Doc;UME6
Pdr3p;XBP1;+;Doc;PDR3
Rpn4p;XBP1;+;Doc;RPN4
Pdr1p;XBP1;+;Doc;PDR1
Yap1p;XBP1;+;Doc;YAP1
Met32p;XBP1;+;Doc;MET32
Msn2p;XBP1;+;Doc;MSN2
Cbf1p;XBP1;+;Doc;CBF1
Met31p;XBP1;+;Doc;MET31
Tec1p;XBP1;+;Doc;TEC1
