gene_name	0pc_KM-1	0pc_KM-2	0pc_KM-3	0pc_100d-1	0pc_100d-2	0pc_100d-3	4pc_KM-1	4pc_KM-2	4pc_KM-3	4pc_100d-1	4pc_100d-2	4pc_100d-3	6pc_KM-1	6pc_KM-2	6pc_KM-3	6pc_100d-1	6pc_100d-2	6pc_100d-3
SCD5	33.483931	22.770088	21.508491	232.92757	352.24221	309.76606	113.66044	151.54787	185.49871	214.45766	162.67951	230.21664	152.99968	180.51317	194.54216	189.77979	230.93775	209.0974
SCD6	553.53124	513.36199	430.16983	952.05328	1042.0116	951.28776	558.37072	619.25593	804.53441	920.02334	784.19864	809.61354	588.38766	574.69498	593.6458	938.12543	853.34315	893.7889
SCH9	708.39442	634.45746	419.41558	930.69311	1019.9389	1016.3004	741.55163	735.96521	757.89474	968.27632	878.05221	893.32869	473.16568	805.86235	985.23495	416.85255	429.48789	468.41918
SCL1	611.08174	563.04219	579.65384	1638.6302	1454.9535	1314.5936	372.98282	506.03052	632.81561	1106.6015	924.97899	853.67414	950.10913	929.27441	1012.7881	1117.9604	951.91414	1091.6114
SCM3	39.762168	22.770088	34.413586	71.200566	106.68433	93.694674	107.03945	117.58024	114.47921	137.2529	168.93641	135.48635	61.388761	79.204757	84.329432	120.99498	121.1015	128.12341
SCO1	1854.1727	1865.0772	2120.7372	2325.2071	2985.3217	2595.7249	718.37814	851.80352	1119.3522	950.04742	831.12542	894.4302	1007.7201	988.21749	1048.6908	1625.1448	1788.3594	1624.6048
SCP1	462.4968	466.78681	308.64685	735.40013	618.03333	566.94838	203.0439	195.96707	240.61833	287.37326	262.78997	245.63785	406.11026	404.31265	441.68584	308.28857	342.18215	307.49618
SCP160	218.69192	196.65076	221.53746	515.69553	711.84196	651.08237	350.91283	393.67606	411.27714	382.80692	252.3618	290.79997	1035.109	762.57603	789.02291	1509.951	1594.0337	1538.5059
SCS3	241.71213	270.13605	203.25524	855.42394	766.10382	612.83965	175.45641	179.41874	346.61759	321.68648	275.30378	340.36814	183.22184	227.48343	220.42545	212.98431	204.18277	196.79756
SCS7	1835.338	1346.5402	1827.1463	1160.5692	2524.5558	2465.6996	2780.8186	2888.1191	2793.0806	2600.2991	2509.0185	2570.9361	1332.6083	1420.1597	1268.2813	1502.4924	1487.0138	1416.5324
SCT1	1832.1989	2132.1083	2089.5499	1360.948	2431.6669	2655.0011	9185.5295	9722.5794	8544.6007	4663.3817	5548.8311	5396.3221	2939.105	2078.6644	2128.2745	3248.6322	3459.8418	3271.7594
SCW11	642.47293	684.13766	680.74375	126.12672	133.35541	218.93959	57.381972	51.38692	48.759661	94.361369	113.66709	98.034837	624.27648	659.42565	561.9179	166.57527	167.57068	187.57267
SCW4	16138.208	14302.721	15889.398	3974.0087	6013.869	6793.8199	5250.4504	5075.1116	4949.1056	3181.4793	2888.604	3014.8466	11404.143	10691.721	10414.267	3558.5783	4069.5738	4801.0404
SCY1	433.19836	407.79158	473.18681	407.87753	583.08502	375.73476	434.77879	499.93376	500.31653	454.65023	408.7844	487.97116	209.66623	207.22175	192.03732	361.32746	392.87581	341.32076
SDA1	162.18779	110.74543	93.561937	159.6927	258.43358	285.86436	349.80933	434.61141	525.75635	765.61383	615.26223	583.80296	289.94384	455.88784	472.5788	363.81366	340.774	554.51811
SDH1	6373.457	6669.5659	5766.4265	4518.1845	7104.6242	7295.7556	27617.281	28084.258	24026.853	23342.644	26480.261	26376.879	4147.0469	4383.8912	4407.674	10566.342	10762.544	10354.421
SDH2	2839.8559	3538.6787	2672.4301	1098.523	2935.6583	3185.6189	11250.177	11557.702	10282.989	8809.9205	8961.9723	9484.0444	2418.7172	2163.395	2149.1481	4504.991	4599.0408	4284.4468
SDH4	2777.0735	3168.1473	2671.3546	1391.4625	2414.1927	2525.9319	11058.168	10913.188	10114.45	10919.112	12112.323	12222.411	2868.2718	2788.7442	2746.9686	4319.3549	4931.3658	4554.0184
SDL1	146.4922	216.31584	127.97552	511.62693	394.54806	324.10708	166.62842	199.45093	315.87781	323.83106	301.37421	312.83027	290.88828	287.34749	304.75488	292.54265	298.52929	276.74656
SDO1	158.0023	120.06047	151.63486	298.02523	358.68006	278.21582	103.72895	203.80575	332.83769	349.56598	263.83279	284.19088	201.16625	352.73746	287.22104	289.22772	201.36645	275.72158
SDS22	827.68092	871.47339	920.56343	1464.6974	1351.0282	1104.2587	313.39385	336.19239	601.01583	581.18025	468.22499	544.14842	704.55409	696.26507	724.73215	749.17437	816.73107	706.21623
SDS23	824.5418	1011.1989	573.20129	1294.8332	1182.7245	1207.514	446.91728	398.03089	554.37615	702.34882	576.67799	649.89386	474.11012	523.11979	553.56845	506.35569	547.77308	540.16829
