Genes	SRR5318962	SRR5318963	SRR5318964	SRR5318965	SRR5318966	SRR5318967	SRR5318968	SRR5318969	SRR5318970	SRR5318971	SRR5318972	SRR5318973	SRR5318974	SRR5318975	SRR5318976	SRR5318977	SRR5318978	SRR5318979
KLMA_40138	98.1554278590216	83.3110885479635	77.793470835235	58.7030917836646	108.661302348127	103.763178912268	95.8382441826147	107.673262317004	99.7092305476565	93.4672354124986	119.620280999075	111.0859731317	74.0828088072835	89.6109719519889	83.5193376660524	93.4535674704471	129.209089399091	103.387098832576
KLMA_40139	2156.32790335961	2173.43928064834	1194.76053519249	1264.07324307491	1218.89634807899	1138.12683641567	1045.81382248397	1047.60788828101	890.175178744741	945.481490193098	1161.02037440279	1191.13353671874	1929.68078178972	1822.08976302377	1153.17061403971	1140.5583120825	1081.10389990885	1087.28765605592
KLMA_40140	77.2877384716705	76.7768855245938	121.42089029013	122.996954213392	68.5038645238192	71.8988956242489	113.492657584675	96.1998819061754	91.3000183327939	108.091360681121	73.4921987837457	78.6521123633202	88.1938200086709	63.4744384659922	165.026161171477	165.66768778852	83.4134627766284	70.6478508689268
KLMA_40141	153.802599558624	163.355075584242	71.4858921188646	62.6166312359089	56.6928533990228	78.435158862817	107.607853117322	98.847585077905	48.6532992431336	37.5140604716831	60.9828883524698	78.6521123633202	169.332134416648	89.6109719519889	45.2815686141248	71.152147960454	62.1512075590564	80.9865607521844
KLMA_40142	29.3693406192348	29.4039136051636	29.9609989027594	30.1901614887418	18.8976177996743	17.9747239060622	31.1053950417258	22.9467608216565	25.2276366445878	26.704924403571	10.9456466273664	10.5410047497233	14.1110112013873	18.6689524899977	18.1126274456499	12.7436682914246	14.7200228429344	29.2930113358965
KLMA_40143	23.1863215415012	31.8542397389272	24.1790517460866	26.8356991011038	37.7952355993485	51.4730730037236	26.0612769268514	32.655005784665	37.2407969515344	24.1615982698976	38.3097631957823	40.5423259604743	17.6387640017342	14.9351619919982	25.1564270078471	15.9295853642807	34.346719966847	24.1236563942677
KLMA_40144	69.5589646245035	55.5407256986424	102.498154141019	96.720332176895	84.251879356881	91.5076853399532	65.5735354933679	67.9577147410597	60.0658015347329	46.4157019395401	83.6560135091574	72.9761867288538	28.2220224027747	44.8054859759945	60.3754248188331	53.0986178809358	68.693439933694	70.6478508689268
KLMA_40145	125.979013708823	164.988626340085	186.599203692625	159.336963412804	109.44870308978	107.848343436373	140.394620864006	142.093403549488	123.73555116155	132.888790484437	121.96577670494	97.3015823051384	155.221123215261	164.28678191198	101.631965111702	101.949346331397	107.946834181519	115.44892702971
KLMA_40146	141.436561403157	123.333082066103	107.228838178297	115.72895237351	68.5038645238192	66.1796652905018	79.8652034855122	97.9650173539951	114.72568093134	116.357170615559	103.983642959981	100.544968381976	155.221123215261	126.948876931984	135.844705842374	94.5155398280658	86.6845789639471	132.680110168472
KLMA_40147	344.703313583651	350.3966371282	273.328411042718	285.129302949228	187.401376513436	185.466469394369	423.705921649454	405.981152998538	261.886894691435	267.04924403571	232.985906782513	252.17326747415	194.026404019076	324.83977332596	243.51421343596	236.819835748974	232.249249299632	215.389789234533
