gene_id	gene_name
KLMA_10690	CIA1
KLMA_10691	CYC2
KLMA_10692	MSW1
KLMA_10693	HIR2
KLMA_10694	CKB2
KLMA_10695	NDE1
KLMA_10698	SUB2
KLMA_10700	RPS16
KLMA_10701	RPL13A
KLMA_10702	RPP1A
KLMA_10703	SIP5
KLMA_10704	bioA
KLMA_10705	UTR4
KLMA_10706	RAD23
KLMA_10707	ANP1
KLMA_10708	HYP2
KLMA_10709	MCM3
KLMA_10710	SPF1
KLMA_10711	TAH11
KLMA_10712	SSC1
KLMA_10713	VPS55
KLMA_10714	BUD16
KLMA_10715	SOU2
KLMA_10717	VMA3
KLMA_10718	NUP85
KLMA_10719	URB2
KLMA_10720	GEF1
KLMA_10721	SNU13
KLMA_10722	HUL4
KLMA_10723	RIP1
KLMA_10725	RAD26
KLMA_10726	PET191
KLMA_10727	RAV1
KLMA_10728	CPR7
KLMA_10729	GEA2
KLMA_10731	URA3
KLMA_10732	TIM9
KLMA_10733	ALF1
KLMA_10734	LSM7
KLMA_10735	FUR1
KLMA_10736	ro-4
KLMA_10739	KTR3
KLMA_10741	LDH1
KLMA_10742	ALD6
KLMA_10743	COS111
KLMA_10744	TIM50
KLMA_10745	VPS28
KLMA_10747	AAH1
KLMA_10748	MCM7
KLMA_10752	BTS1
KLMA_10753	MUK1
KLMA_10755	BEM1
KLMA_10756	UBP16
KLMA_10757	YTA6
KLMA_10758	GCR1
KLMA_10760 KLMA_20185	TY1B-DR6
KLMA_10761	TAF5
KLMA_10762	GPI2
KLMA_10763	RAG2
KLMA_10764	MSI1
KLMA_10765	ATP4
KLMA_10766	AIM4
KLMA_10767	MED8
KLMA_10768	RIM2
KLMA_10769	RPL21A
KLMA_10771	LYS21
KLMA_10772	MOT1
KLMA_10774	GDT1
KLMA_10775	PCH2
KLMA_10776	SEN54
KLMA_10777	BRO1
KLMA_10778	MBA1
KLMA_10779	SEC16
KLMA_10780	ELP3
KLMA_10781	GLY1
KLMA_10782	YDC1
KLMA_10783	SOU1
KLMA_10784	SMP1
KLMA_10786	RPS6
KLMA_10787	GLR1
KLMA_10788	SSU1
KLMA_10789	DTR1
KLMA_10791	NOG1
KLMA_10793	SEC62
KLMA_10794	FZO1
KLMA_10795	EHT1
KLMA_10796	PNG1
KLMA_10797	MSY1
KLMA_10798	MGR2
KLMA_10799	AIM43
KLMA_10800	ATG21
KLMA_10802	ELP4
KLMA_10803	FMP30
KLMA_10804	ECM31
KLMA_10805	EAT1
KLMA_10807	MSD1
KLMA_10808	SWD3
KLMA_10809	UMP1
KLMA_10810	SYH1
KLMA_10811	SEC66
KLMA_10812	NPL4
KLMA_10813	SSE1
KLMA_10815	PEX32
KLMA_10816	POP7
KLMA_10818	DAL3
KLMA_10819	TYR1
KLMA_10821	ARL1
KLMA_10824	str3
KLMA_10830	Nqo2
KLMA_10831	YCT1
KLMA_10832	URA1
KLMA_10834	PHO12
KLMA_10836	FCY2
KLMA_20004	OPT1
KLMA_20005	ADH4a
KLMA_20006	DUR3
KLMA_20007	yxeK
KLMA_20008	FRE4
KLMA_20009	ADY2
KLMA_20011	MNT4
KLMA_20012	yciC
KLMA_20015	YUH1
KLMA_20016	THP3
KLMA_20017	uch2
KLMA_20018	AIM25
KLMA_20019	PPH3
KLMA_20021	SPT15
KLMA_20022	SCC4
KLMA_20023	TPS2
KLMA_20024	IPT1
KLMA_20025	LSM5
KLMA_20026	PAA1
KLMA_20028	DOA4
KLMA_20029	DOS2
KLMA_20030	OCA6
KLMA_20031	DDI1
KLMA_20032	MAG1
KLMA_20033	COX15
KLMA_20035	PIM1
KLMA_20036	HAP3
KLMA_20037	RFT1
KLMA_20038	APN2
KLMA_20039	POP8
KLMA_20040	VPS10
KLMA_20041	FUS3
KLMA_20042	ACH1
KLMA_20045	PGD1
KLMA_20046	TRP5
KLMA_20047	RRN6
KLMA_20048	CWH41
KLMA_20049	SCW11
KLMA_20050	MIOX5
KLMA_20051	CGR1
KLMA_20053	RPL30
KLMA_20054	RPL24
KLMA_20056	NAT2
KLMA_20058	HOP2
KLMA_20059	MIG1
KLMA_20060	PRP24
KLMA_20061	NUP188
KLMA_20062	PPA2
KLMA_20063	RSN1
KLMA_20067	CAC2
KLMA_20068	CUE1
KLMA_20069	SAP30
KLMA_20074	TSL1
KLMA_20075	TIF11
KLMA_20076	NIPA2
KLMA_20077	SIF2
KLMA_20078	EXO84
KLMA_20079	FES1
KLMA_20080	EME1
KLMA_20081	SEC8
KLMA_20083	DAP2
KLMA_20084	RPN1
KLMA_20085	VMA16
KLMA_20086	THR1
KLMA_20087	MAS2
KLMA_20088	MYO1
KLMA_20092	RSM22
KLMA_20093	SRP102
KLMA_20094	NUP192
KLMA_20095	NSP1
KLMA_20096	MHP1
KLMA_20098	GPM1
KLMA_20099	ADY2
KLMA_20100	RVS161
KLMA_20102	SAT4
KLMA_20105	CIT1
KLMA_20106	YCP4
KLMA_20108	MRPL32
KLMA_20109	CDC10
KLMA_20110	DNM1
KLMA_20111	RTT109
KLMA_20112	PRE3
KLMA_20113	SFI1
KLMA_20114	OST1
KLMA_20115	ORC3
KLMA_20116	COX16
KLMA_20117	ADR1
KLMA_20118	RAD9
KLMA_20120	SPR28
KLMA_20121	BUR2
KLMA_20123	GTB1
KLMA_20125	IFH1
KLMA_20126	UTP13
KLMA_20128	RSA3
KLMA_20129	CCC1
KLMA_20130	ECM4
KLMA_20132	BMH2
KLMA_20133	IRC20
KLMA_20135	RCK2
KLMA_20136	MEF2
KLMA_20137	GCN3
KLMA_20138	RPC37
KLMA_20139	DBP7
KLMA_20140	GSM1
KLMA_20143	PAM16
KLMA_20145	CTF13
KLMA_20146	SLD2
KLMA_20147	UTP15
KLMA_20148	AIP1
KLMA_20149	NPL6
KLMA_20150	YTA12
KLMA_20151	VBA1
KLMA_20153	AAT1
KLMA_20155	GFA1
KLMA_20156	LAP4
KLMA_20157	HSL1
KLMA_20158	ADH4b
KLMA_20159	UTP11
KLMA_20160	MTC2
KLMA_20161	GGC1
KLMA_20162	PCF11
KLMA_20165	ADK1
KLMA_20166	MSC3
KLMA_20168 KLMA_60119	HTA1
KLMA_20169	HTB1
KLMA_20170	SPO71
KLMA_20171	STE5
KLMA_20172	PDA1
KLMA_20173	ARX1
KLMA_20174	DMC1
KLMA_20175	TMS1
KLMA_20179	RDH54
KLMA_20180	VMS1
KLMA_20181	HEM12
KLMA_20184	DSE4
KLMA_20187	DBF4
KLMA_20188	SLM4
KLMA_20189	RGP1
KLMA_20190	AVL9
KLMA_20191	HPR1
KLMA_20192	NOP53
KLMA_20193	PXA1
KLMA_20195	ppr1
KLMA_20196	ABP140
KLMA_20199	ATG5
KLMA_20202	MET7
KLMA_20203	SSP2
KLMA_20204	PUS7
KLMA_20205	PRP46
KLMA_20206	ESA1
KLMA_20207	RRD2
KLMA_20208	DGA1
KLMA_20209	RAD53
KLMA_20210	SLD5
KLMA_20211	PAC11
KLMA_20212	HST2
KLMA_20213	MSH4
KLMA_20214	ULP1
KLMA_20215	BAS1
KLMA_20217	COA1
KLMA_20218	SKG1
KLMA_20219	BNR1
KLMA_20220	POT1
KLMA_20221	THI72
KLMA_20223	DSD1
KLMA_20224	CDC20
KLMA_20225	SNF4
KLMA_20227	SWC5
KLMA_20228	PBP2
KLMA_20229	SLD3
KLMA_20230	TAF6
KLMA_20231	DAD3
KLMA_20232	ARC40
