reaction	linear_coefficient
r_0171	[0.0037798055844909754, 0.002713451127836853, 0.0029895113418937367]
r_0172	[0.11338783272802223, 0.08850791752806529, 0.10087569691621018]
r_0173	[0.046314263878995676, 0.033379207741324884, 0.037586497917013295]
r_0174	[0.34371700145012074, 0.4633492592639604, 0.36069500021018314]
r_0175	[0.004445464215625143, 0.0028828751975246317, 0.0030726771750070017]
r_0176	[0.00713066343952225, 0.00468065282587829, 0.004588143467293223]
r_0177	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0178	[0.046314263878995676, 0.02907771886091849, 0.03150615145162102]
r_0179	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0180	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0181	[0.00412955842457842, 0.0028828751975246317, 0.0031650836562439667]
r_0182	[0.05861202503045716, 0.05619498245927916, 0.04966402501468455]
r_0183	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0184	[0.03392624393009215, 0.025538638294107078, 0.0250376977650335]
r_0185	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0186	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0187	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0188	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0189	[0.1365730613209152, 0.11879717620891356, 0.14068440903309448]
r_0190	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0191	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0192	[0.004806499405392823, 0.004737127515774217, 0.004662068652282789]
r_0193	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0194	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0195	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0196	[0.010763361594948924, 0.008650040002392724, 0.008732412476893154]
r_0197	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
r_0198	[0.03759300757617014, 0.028296485650691518, 0.03010157293681914]
r_0199	[0.03759300757617014, 0.028296485650691518, 0.03010157293681914]
r_0200	[0.0012299945567567493, 0.0008027241196913433, 0.0009750500509279061]
r_0201	[0.0012299945567567493, 0.0008027241196913433, 0.0009750500509279061]
r_0202	[0.0012299945567567493, 0.0008027241196913433, 0.0009750500509279061]
r_0203	[0.0012299945567567493, 0.0008027241196913433, 0.0009750500509279061]
r_0204	[0.00713066343952225, 0.006365481074440095, 0.0063069040183007605]
