reaction	linear_coefficient
r_0021_EXP_3	[0.0652886870566673, 0.047075914348204524, 0.12640420855755868, 0.11181602687572403, 0.05004136097358935, 0.039914897600355624]
r_0021_REV_EXP_1	[0.0006889346772999828, 0.0007416272370753174, 0.0004902941848535021, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
r_0021_REV_EXP_2	[0.0005207061554787154, 0.00047533823068951925, 0.0004902941848535021, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
r_0021_REV_EXP_3	[0.0652886870566673, 0.047075914348204524, 0.12640420855755868, 0.11181602687572403, 0.05004136097358935, 0.039914897600355624]
r_0022	[0.0007394032338463634, 0.0007771324379267585, 0.0006193988282706598, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
r_0022_REV	[0.0007394032338463634, 0.0007771324379267585, 0.0006193988282706598, 0.0006774658022147609, 0.0004387775752891532, 0.0004868979238799412]
r_0023	[0.0006889346772999828, 0.0007416272370753174, 0.0004902941848535021, 0.0006381247186489174, 0.0004387775752891532, 0.0004868979238799412]
r_0023_REV	[0.0006889346772999828, 0.0007416272370753174, 0.0004902941848535021, 0.0006381247186489174, 0.0004387775752891532, 0.0004868979238799412]
r_0024_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0024_EXP_2	[0.000991746016578266, 0.0010611740447382789, 0.0010620433199866298, 0.0011298882632219689, 0.0006928602449446476, 0.0007531034730834544]
r_0024_EXP_3	[0.009335880698913205, 0.01114465108654722, 0.010947770301643272, 0.010611089402590363, 0.007157852617289976, 0.006846252710408284]
r_0024_EXP_4	[0.017932358163980044, 0.017943897049597958, 0.015152892972944984, 0.014289480715996774, 0.016389522948106226, 0.014389888854167603]
r_0024_REV_EXP_1	[0.012095630718949209, 0.012391315097152536, 0.01267992033561371, 0.013405474225061324, 0.014228629500707626, 0.014389888854167603]
r_0024_REV_EXP_2	[0.000991746016578266, 0.0010611740447382789, 0.0010620433199866298, 0.0011298882632219689, 0.0006928602449446476, 0.0007531034730834544]
r_0024_REV_EXP_3	[0.009335880698913205, 0.01114465108654722, 0.010947770301643272, 0.010611089402590363, 0.007157852617289976, 0.006846252710408284]
r_0024_REV_EXP_4	[0.017932358163980044, 0.017943897049597958, 0.015152892972944984, 0.014289480715996774, 0.016389522948106226, 0.014389888854167603]
r_0025	[0.012095630718949209, 0.012391315097152536, 0.00914030529380307, 0.008427659264686013, 0.011928960525265363, 0.011578795807359585]
r_0026	[0.0007394032338463634, 0.0007771324379267585, 0.0010620433199866298, 0.0011298882632219689, 0.0006928602449446476, 0.0006347898956596704]
r_0026_REV	[0.0007394032338463634, 0.0007771324379267585, 0.0010620433199866298, 0.0011298882632219689, 0.0006928602449446476, 0.0006347898956596704]
r_0027	[0.0007394032338463634, 0.0007771324379267585, 0.0006193988282706598, 0.0007168068857806075, 0.0004387775752891532, 0.0005460547125918345]
r_0028	[0.012448108352606683, 0.014588655569136895, 0.018362065537885757, 0.015410701597623318, 0.012126580379441856, 0.011253433469444206]
